2024-07-16 14:25:27,128 INFO  Logger.cs: 70 - 
2024-07-16 14:44:25,627 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-4
2024-07-16 14:44:25,628 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-4
2024-07-16 14:44:25,629 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-4
2024-07-16 14:44:25,630 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-4
2024-07-16 14:44:25,632 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-4
2024-07-16 14:44:25,633 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-3
2024-07-16 14:44:25,634 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-3
2024-07-16 14:44:25,635 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-3
2024-07-16 14:44:25,636 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-2
2024-07-16 14:44:25,637 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-2
2024-07-16 14:44:25,638 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-2
2024-07-16 14:44:25,639 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-1
2024-07-16 14:44:25,639 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-1
2024-07-16 14:44:25,641 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-1
2024-07-16 14:44:25,646 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-2
2024-07-16 14:44:25,649 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-2
2024-07-16 14:44:25,650 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-2
2024-07-16 14:44:25,652 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-1
2024-07-16 14:44:25,653 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-1
2024-07-16 14:44:25,656 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-1
2024-07-16 14:44:25,660 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-3
2024-07-16 14:44:25,661 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-3
2024-07-16 14:44:25,662 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-3
2024-07-16 14:44:25,663 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from cable_spacer-1
2024-07-16 14:44:25,664 INFO  ExportHelperExtension.cs: 1136 - Found 29 in cable_spacer-1
2024-07-16 14:44:25,666 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in cable_spacer-1
2024-07-16 14:44:25,666 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from dip_spacer-1
2024-07-16 14:44:25,667 INFO  ExportHelperExtension.cs: 1136 - Found 29 in dip_spacer-1
2024-07-16 14:44:25,669 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in dip_spacer-1
2024-07-16 14:44:25,670 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-9
2024-07-16 14:44:25,671 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-9
2024-07-16 14:44:25,671 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-9
2024-07-16 14:44:25,672 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from cable_spacer-3
2024-07-16 14:44:25,672 INFO  ExportHelperExtension.cs: 1136 - Found 29 in cable_spacer-3
2024-07-16 14:44:25,673 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in cable_spacer-3
2024-07-16 14:44:25,674 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-10
2024-07-16 14:44:25,675 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-10
2024-07-16 14:44:25,676 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-10
2024-07-16 14:44:25,678 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-14
2024-07-16 14:44:25,679 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-14
2024-07-16 14:44:25,680 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-14
2024-07-16 14:44:25,681 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mcp_bracket-5
2024-07-16 14:44:25,682 INFO  ExportHelperExtension.cs: 1136 - Found 32 in mcp_bracket-5
2024-07-16 14:44:25,684 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in mcp_bracket-5
2024-07-16 14:44:25,685 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-9
2024-07-16 14:44:25,686 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-9
2024-07-16 14:44:25,687 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-9
2024-07-16 14:44:25,688 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-7
2024-07-16 14:44:25,688 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-7
2024-07-16 14:44:25,689 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-7
2024-07-16 14:44:25,691 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mcp_bracket-4
2024-07-16 14:44:25,692 INFO  ExportHelperExtension.cs: 1136 - Found 32 in mcp_bracket-4
2024-07-16 14:44:25,694 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in mcp_bracket-4
2024-07-16 14:44:25,696 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-12
2024-07-16 14:44:25,698 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-12
2024-07-16 14:44:25,699 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-12
2024-07-16 14:44:25,700 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s102-6
2024-07-16 14:44:25,700 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s102-6
2024-07-16 14:44:25,701 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s102-6
2024-07-16 14:44:25,702 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-9
2024-07-16 14:44:25,703 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-9
2024-07-16 14:44:25,705 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-9
2024-07-16 14:44:25,705 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from finger_tip-4
2024-07-16 14:44:25,710 INFO  ExportHelperExtension.cs: 1136 - Found 28 in finger_tip-4
2024-07-16 14:44:25,711 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in finger_tip-4
2024-07-16 14:44:25,712 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from dip_spacer-4
2024-07-16 14:44:25,713 INFO  ExportHelperExtension.cs: 1136 - Found 29 in dip_spacer-4
2024-07-16 14:44:25,714 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in dip_spacer-4
2024-07-16 14:44:25,715 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-11
2024-07-16 14:44:25,716 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-11
2024-07-16 14:44:25,717 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-11
2024-07-16 14:44:25,718 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-10
2024-07-16 14:44:25,718 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-10
2024-07-16 14:44:25,719 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-10
2024-07-16 14:44:25,720 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-10
2024-07-16 14:44:25,721 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-10
2024-07-16 14:44:25,722 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-10
2024-07-16 14:44:25,723 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-11
2024-07-16 14:44:25,724 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-11
2024-07-16 14:44:25,726 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-11
2024-07-16 14:44:25,728 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from cable_spacer-4
2024-07-16 14:44:25,729 INFO  ExportHelperExtension.cs: 1136 - Found 29 in cable_spacer-4
2024-07-16 14:44:25,731 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in cable_spacer-4
2024-07-16 14:44:25,732 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-8
2024-07-16 14:44:25,733 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-8
2024-07-16 14:44:25,735 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-8
2024-07-16 14:44:25,736 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-12
2024-07-16 14:44:25,737 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-12
2024-07-16 14:44:25,740 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-12
2024-07-16 14:44:25,741 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-13
2024-07-16 14:44:25,742 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-13
2024-07-16 14:44:25,745 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-13
2024-07-16 14:44:25,746 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-15
2024-07-16 14:44:25,747 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-15
2024-07-16 14:44:25,749 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-15
2024-07-16 14:44:25,749 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-8
2024-07-16 14:44:25,750 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-8
2024-07-16 14:44:25,751 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-8
2024-07-16 14:44:25,753 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from dip_spacer-3
2024-07-16 14:44:25,754 INFO  ExportHelperExtension.cs: 1136 - Found 29 in dip_spacer-3
2024-07-16 14:44:25,755 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in dip_spacer-3
2024-07-16 14:44:25,756 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from palm_lower-1
2024-07-16 14:44:25,757 INFO  ExportHelperExtension.cs: 1136 - Found 32 in palm_lower-1
2024-07-16 14:44:25,758 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in palm_lower-1
2024-07-16 14:44:25,759 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from cable_spacer-5
2024-07-16 14:44:25,761 INFO  ExportHelperExtension.cs: 1136 - Found 29 in cable_spacer-5
2024-07-16 14:44:25,763 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in cable_spacer-5
2024-07-16 14:44:25,767 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-23
2024-07-16 14:44:25,768 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-23
2024-07-16 14:44:25,769 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-23
2024-07-16 14:44:25,771 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-16
2024-07-16 14:44:25,772 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-16
2024-07-16 14:44:25,773 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-16
2024-07-16 14:44:25,774 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s102-9
2024-07-16 14:44:25,774 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s102-9
2024-07-16 14:44:25,775 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s102-9
2024-07-16 14:44:25,776 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s102-8
2024-07-16 14:44:25,777 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s102-8
2024-07-16 14:44:25,777 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s102-8
2024-07-16 14:44:25,778 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from finger_tip-5
2024-07-16 14:44:25,779 INFO  ExportHelperExtension.cs: 1136 - Found 28 in finger_tip-5
2024-07-16 14:44:25,780 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in finger_tip-5
2024-07-16 14:44:25,781 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-17
2024-07-16 14:44:25,781 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-17
2024-07-16 14:44:25,782 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-17
2024-07-16 14:44:25,783 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-25
2024-07-16 14:44:25,784 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-25
2024-07-16 14:44:25,785 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-25
2024-07-16 14:44:25,786 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s102-12
2024-07-16 14:44:25,786 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s102-12
2024-07-16 14:44:25,787 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s102-12
2024-07-16 14:44:25,788 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from cable_spacer-8
2024-07-16 14:44:25,789 INFO  ExportHelperExtension.cs: 1136 - Found 29 in cable_spacer-8
2024-07-16 14:44:25,789 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in cable_spacer-8
2024-07-16 14:44:25,790 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-18
2024-07-16 14:44:25,791 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-18
2024-07-16 14:44:25,791 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-18
2024-07-16 14:44:25,792 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s102-7
2024-07-16 14:44:25,793 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s102-7
2024-07-16 14:44:25,794 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s102-7
2024-07-16 14:44:25,794 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-26
2024-07-16 14:44:25,795 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-26
2024-07-16 14:44:25,796 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-26
2024-07-16 14:44:25,797 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-16
2024-07-16 14:44:26,080 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-16
2024-07-16 14:44:26,080 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-16
2024-07-16 14:44:26,082 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-12
2024-07-16 14:44:26,082 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-12
2024-07-16 14:44:26,082 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-12
2024-07-16 14:44:26,083 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from XL,XC-330-22
2024-07-16 14:44:26,083 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-22
2024-07-16 14:44:26,084 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in XL,XC-330-22
2024-07-16 14:44:26,084 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-s101-11
2024-07-16 14:44:26,084 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s101-11
2024-07-16 14:44:26,085 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-s101-11
2024-07-16 14:44:26,085 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from fpx330-h101-13
2024-07-16 14:44:26,086 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-13
2024-07-16 14:44:26,086 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in fpx330-h101-13
2024-07-16 14:44:26,086 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from palm_upper_no_holes-1
2024-07-16 14:44:26,087 INFO  ExportHelperExtension.cs: 1136 - Found 25 in palm_upper_no_holes-1
2024-07-16 14:44:26,087 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in palm_upper_no_holes-1
2024-07-16 14:44:26,088 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from assembly.SLDASM
2024-07-16 14:44:26,088 INFO  ExportHelperExtension.cs: 1136 - Found 305 in assembly.SLDASM
2024-07-16 14:44:26,090 INFO  ExportHelperExtension.cs: 1145 - Found 16 features of type [RefAxis] in assembly.SLDASM
2024-07-16 14:44:26,090 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-07-16 14:44:26,090 INFO  ExportHelperExtension.cs: 1160 - 60 components to check
2024-07-16 14:44:26,091 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from fpx330-s102-1
2024-07-16 14:44:26,092 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-s102-1
2024-07-16 14:44:26,093 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in fpx330-s102-1
2024-07-16 14:44:26,093 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from mcp_bracket-1
2024-07-16 14:44:26,094 INFO  ExportHelperExtension.cs: 1136 - Found 32 in mcp_bracket-1
2024-07-16 14:44:26,095 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in mcp_bracket-1
2024-07-16 14:44:26,095 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from finger_tip-1
2024-07-16 14:44:26,096 INFO  ExportHelperExtension.cs: 1136 - Found 28 in finger_tip-1
2024-07-16 14:44:26,096 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in finger_tip-1
2024-07-16 14:44:26,097 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from finger_tip-3
2024-07-16 14:44:26,097 INFO  ExportHelperExtension.cs: 1136 - Found 28 in finger_tip-3
2024-07-16 14:44:26,098 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in finger_tip-3
2024-07-16 14:44:26,098 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from fpx330-h101-1
2024-07-16 14:44:26,099 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-1
2024-07-16 14:44:26,099 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in fpx330-h101-1
2024-07-16 14:44:26,100 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from fpx330-h101-2
2024-07-16 14:44:26,100 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-2
2024-07-16 14:44:26,100 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in fpx330-h101-2
2024-07-16 14:44:26,101 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from XL,XC-330-4
2024-07-16 14:44:26,101 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-4
2024-07-16 14:44:26,102 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in XL,XC-330-4
2024-07-16 14:44:26,102 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from fpx330-h101-4
2024-07-16 14:44:26,103 INFO  ExportHelperExtension.cs: 1136 - Found 24 in fpx330-h101-4
2024-07-16 14:44:26,103 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in fpx330-h101-4
2024-07-16 14:44:26,104 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from XL,XC-330-3
2024-07-16 14:44:26,104 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-3
2024-07-16 14:44:26,105 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in XL,XC-330-3
2024-07-16 14:44:26,105 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from XL,XC-330-2
2024-07-16 14:44:26,105 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-2
2024-07-16 14:44:26,106 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in XL,XC-330-2
2024-07-16 14:44:26,106 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from XL,XC-330-1
2024-07-16 14:44:26,106 INFO  ExportHelperExtension.cs: 1136 - Found 44 in XL,XC-330-1
2024-07-16 14:44:26,107 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in XL,XC-330-1
2024-07-16 14:44:26,107 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from fpx330-s101-2
